ID,Area,Feature,User Story,Expected Behavior,Status,Errors / Notes,Test Method,Last Updated
1,Shell,Global error bar,"As a player, I want boot/runtime errors to appear on-screen so that a silent failure does not leave me staring at a blank app.",`window.addEventListener('error')` injects a fixed bottom bar (`#bootErrorBar`) with the stack; duplicate bars are suppressed.,pass,errorBar=true,puppeteer UI audit,2026-07-08
2,Shell,Window chrome (titlebar / menubar / toolbar / statusbar),"As a player, I want the app to feel like a native P2P client so that navigation and system state are always visible.","`index.html` renders a titlebar with app icon, window buttons, and subtitle; a menubar (File, Edit, View, Room, Wallet, Help); a top toolbar with brand, topnav, wallet chip, profile chip; and a bottom status bar with net/peers/room/version. `client-skin.css` re-dresses these as Winamp/mIRC dark or Napster/Win9x light.",pass,"titlebar=true, statusbar=true",puppeteer UI audit,2026-07-08
3,Shell,Dark / light mode toggle,"As a player, I want to switch between dark and light client themes so that the UI matches my preference.",`.mode-toggle` cycles `html[data-mode]` between `dark` and `light`; choice persists in `localStorage` under `us-mode`. `client-skin.css` swaps the full palette.,pass,data-mode=light,puppeteer UI audit,2026-07-08
4,Shell,LCD live ticker,"As a player, I want a scrolling live ticker so that I can see what matches/events are live without leaving the shell.","`.lcd-strip` shows a ""LIVE"" tag, animated EQ bars, and a marquee text node (`#shellTicker`) populated by `renderTicker()` in the lobby. In the shell it is rendered by `fit-loader.js` / lobby injection.",pass,lcdStrip=true,puppeteer UI audit,2026-07-08
5,Shell,Top navigation,"As a player, I want one-click access to Profile, Home, Bracket, Watch, and Games so that I can move between the main surfaces.","`.topnav` buttons set the active screen via `data-view`; `setView()` updates the hash (`#home`, `#bracket`, etc.), persists state, and renders the view. Active state is styled.",fixed,Profile button now uses data-view=profile and routes to #profile; alias maps to onboarding screen,manual,2026-07-08
6,Shell / Wallet,Wallet chip,"As a player, I want my balance visible everywhere so that I know if I can enter pools or games.",`#walletChip` shows formatted balance; clicking navigates to Profile/wallet; `flashWalletChip()` animates on change.,pass,wallet chip rendered,puppeteer UI audit,2026-07-08
7,Shell / Profile,Profile chip,"As a player, I want my avatar, name, and team visible in the header so that I can confirm my identity at a glance.","`#profileChip` renders `avatarSvg()` (retro monogram tile or uploaded photo), name, and team flag/name. Updates when state changes.",pass,hash=profile,puppeteer UI audit,2026-07-08
8,Shell / Onboarding,Team picker,"As a player, I want to choose my country/team during onboarding so that my avatar and kit use its colors.","`#teamGrid` renders all fit-supplied `teams`; selected team updates `state.team`, persists, re-renders avatar and kit card.",pass,teamGrid=true,puppeteer UI audit,2026-07-08
9,Shell / Onboarding,Username entry,"As a player, I want to set a display name so that other players see me as something other than ""captain"".",`#usernameInput` updates `state.username` on input; `#saveProfile` commits and routes to Home (or to Games if a `?join=` deep link is pending).,pass,usernameInput=true,puppeteer UI audit,2026-07-08
10,Shell / Onboarding,Avatar upload / examples,"As a player, I want to upload a photo or pick a preset avatar so that my profile feels personal.",`#avatarInput` downsamples an image to a ~256px JPEG data URL (max 60–90 KB); `#avatarExamples` shows 8 procedurally generated pixel identicons; `#avatarClearBtn` removes the photo. Fallback is a retro monogram tile.,pass,8 examples,puppeteer UI audit,2026-07-08
11,Shell / Onboarding,Kit preview card,"As a player, I want to see my team's jersey colors so that the team choice feels concrete.",`.kit-card` shows primary/secondary/accent swatches and a country subtitle.,pass,kitCard=true,puppeteer UI audit,2026-07-08
12,Shell / Wallet,Wallet management panel,"As a player, I want to add funds, collect payouts, and withdraw so that I can play real- or demo-money games.","`#walletManage` shows balance, pending payout badge, fund buttons (+50/+100/+250), collect/withdraw buttons, and a ledger. Demo balance is hard-coded; real money routes through Tether WDK.",pass,walletManage=true,puppeteer UI audit,2026-07-08
13,Shell / Settings,Live data settings (operator mode),"As an operator, I want to point the app at a live football API so that the feed shows real matches.","Shown when `?operator`, `?debug`, `?liveData=1`, or `pearcupOperatorMode` localStorage flag is set. Provider selection, API key, match ID, CORS proxy, save/test controls. Tests via `apiRequest()`.",pass,liveDataSettings=true,puppeteer UI audit,2026-07-08
14,Shell / Home,Live match hero / scoreline,"As a player, I want the home screen to show the featured match and score so that I can decide whether to watch or enter pools.","`.live-scoreline` displays home/away flags, names, clock, score, and status from `livePanelSnapshot()`. Backdrop can be fit-asset.",pass,liveScoreline=true,puppeteer UI audit,2026-07-08
15,Shell / Home,Live dashboard tabs,"As a player, I want to switch between Overview, Stats, Rooms, Games, and QVAC summaries so that I can see different angles of the live match.",`#liveMenu` renders fit-configurable tabs; `#liveDetail` renders tab-specific panels via `renderLivePanel()`.,pass,liveMenu=true,puppeteer UI audit,2026-07-08
16,Shell / Home,Overview dashboard,"As a player, I want to see momentum, timeline, and pool impact so that I understand how the match affects my picks.","Renders a momentum chart (Winamp-style spectrum analyzer via `startWinampViz()`), recent event timeline, and pool-impact copy.",pass,activeTab=stats,puppeteer UI audit,2026-07-08
17,Shell / Home,Stats panel,"As a player, I want to see match stats so that I can follow the game's flow.","Renders score, possession, shots, attacking threat with meter bars. Falls back to projected values when the live API lacks them.",pass,Stats panel rendered in home view with score/possession/shots,visual audit,2026-07-08
18,Shell / Home,Rooms / watch-party preview,"As a player, I want to see who is in the watch room so that I can join the couch.","Shows peer count, sample avatars, and a ""Join the couch"" button that routes to Watch.",pass,hash=watch,puppeteer UI audit,2026-07-08
19,Shell / Home,Games preview,"As a player, I want a preview of the Penalty Clash mini-game so that I can jump into games.","Shows round result, deterministic preview hash, escrow mode, and prize gate; button routes to Games.",pass,hash=games,puppeteer UI audit,2026-07-08
20,Shell / Home,QVAC panel,"As a player, I want to know that QVAC multilingual commentary is available so that I trust the live summary.","Shows language pills (EN/PT/ES/FR/AR/JA), feed source, parsed event count.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
21,Shell / Home,Fixture schedule rail,"As a player, I want to see today's upcoming fixtures so that I can plan which rooms to enter.","`#homeFixtures` lists the live fixture plus static `homeFixtures`, each with status, title, detail, and a watch/open icon button.",info,fixtureRail=false,puppeteer UI audit,2026-07-08
22,Shell / Home,Bracket leaders rail,"As a player, I want to see the current payout leaders so that I can gauge competition.","`#leaderPanel` renders mock leaders with rank, avatar, score, and prize.",pass,hash=bracket,puppeteer UI audit,2026-07-08
23,Shell / Home,Room signal panel,"As a player, I want to see peer count, core lag, referee status, payments mode, and prize gate so that I know whether real-money play is possible.","`#signalPanel` / `renderSignalPanel()` shows peers (default 38), core lag (0.4s), QVAC/Tether WDK mode, and prize gate status.",info,roomSignal=false,puppeteer UI audit,2026-07-08
24,Shell / Home / Pools,Prize pool cards,"As a player, I want to browse entry tiers and enter a pool so that I can compete for prizes.","`#poolGrid` renders fit-configurable `pools`; each card shows tier, heat, prize, entrants/max, close time, sample avatars, and Enter. Clicking selects the tier and routes to Bracket.",pass,4 cards,puppeteer UI audit,2026-07-08
25,Shell / Bracket,Pool selection,"As a player, I want to choose which prize tier/variation to enter so that I can match my risk and bankroll.",`#bracketPoolSelect` lists pools; clicking a different pool swaps variant picks; clicking the selected pool attempts entry via `enterSelectedPool()` and debits the wallet.,pass,4 cards,puppeteer UI audit,2026-07-08
26,Shell / Bracket,Bracket board / pick surface,"As a player, I want to fill out my bracket/picks so that I can submit an entry.","`#bracketBoard` adapts to `templateKind`: `single-elimination` (classic knockout tree), `fight-card` (independent bouts + method/round props), `awards-card` (category nominees), `group-plus-knockout` (group winners/runners-up feeding knockout), `round-robin` (standings table), `series-playoff` (best-of series), `creator-custom` (same as classic). Picks are persisted per variant.",pass,bracketBoard=true,puppeteer UI audit,2026-07-08
27,Shell / Bracket,Classic / upset-bounty / confidence / survivor / side-quest variants,"As a player, I want to play different pool variants so that the same event supports multiple game types.",Classic bracket picks winners per match; upset-bounty adds seed-gap bonus badges; confidence requires unique 1–N confidence points per match; survivor forces one unique team per round; side-quest uses category-style entrant picks.,pass,Pool variant UI present in bracket view,visual audit,2026-07-08
28,Shell / Bracket,Bracket connector SVG lines,"As a player, I want visual bracket lines so that I can see match progression.",`updateBracketConnectors()` draws SVG paths between rounds; hidden on mobile; re-rendered on resize and view change.,pass,Bracket board rendered with connector visuals,visual audit,2026-07-08
29,Shell / Bracket,Entered players rail,"As a player, I want to see who else is in the pool so that I know the competition size.",`#bracketEntrants` shows the local player plus demo entrants from `demoBracketEntrants()`.,info,enteredRail=false,puppeteer UI audit,2026-07-08
30,Shell / Bracket,Picks reset / submit,"As a player, I want to reset or submit my picks so that I can correct mistakes or lock in my entry.",`#resetPicks` clears active picks; `#submitPicks` shows a toast but does not actually lock/submit to a backend in the demo path.,pass,resetPicks=true,puppeteer UI audit,2026-07-08
31,Shell / Bracket / Settlement,Pool statistics audit panel,"As a player, I want to see pool stats and settlement status so that I trust the prize process.","`#bracketStats` shows entrants, your entry status, picks remaining, demo score, variant, settlement label.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
32,Shell / Bracket / Settlement,Entries & payouts audit panel,"As a player, I want to see the entry ledger and payout recipients so that I can verify money flow.",`#bracketEntriesPanel` renders `renderEntryLedger()` and `renderPayoutRecipients()`; supports editing recipient addresses; demo-fill button generates deterministic addresses.,pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
33,Shell / Bracket / Settlement,Settlement audit panel,"As a player, I want to see QVAC attestation, prize gate, and event roots so that I can audit the result.","`#bracketAudit` shows guard mode, prize gate, QVAC attestation ID, recipient declarations, receipt hash, pool namespace, event root, replay root, P2P/backend diagnostics.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
34,Shell / Watch,Live match feed / scorebug,"As a player, I want to watch the live match with a scorebug so that I can follow the action.",Simulated feed (`createSimLiveFeed()`) ticks every 3.4s; real API feed (`createApiLiveFeed()`) polls every 30s when configured. Scorebug updates clock and score; live board and source badge appear for API mode.,pass,scorebug=true,puppeteer UI audit,2026-07-08
35,Shell / Watch,Language commentary tabs,"As a player, I want commentary in my preferred language so that I can follow the match narrative.",`#languageTabs` lets the player switch `state.language`; `#commentaryFeed` renders templated commentary lines from `COMMENTARY_TEMPLATES` in EN/PT/ES/FR.,pass,4 tabs,puppeteer UI audit,2026-07-08
36,Shell / Watch,Watch-party couches,"As a player, I want to see who is cheering for which team so that the watch party feels social.",`#watchPickBoard` groups mock participants by picked team and shows avatars; includes a mini-games challenge tray.,pass,watchParty=true,puppeteer UI audit,2026-07-08
37,Shell / Watch,Mini-game challenge tray,"As a player, I want to challenge other watchers to a mini-game so that I can play while watching.","`#watchChallengeList` lists `fitMiniGames`; playable/social games are active, others show ""soon"". Clicking hosts/joins a peer game.",pass,challengeTray=true,puppeteer UI audit,2026-07-08
38,Shell / Watch,Room chat,"As a player, I want to chat with other watchers so that I can share reactions.",`#chatForm` appends messages to `state.chat` and broadcasts via `PearCupWatchSync.broadcastChat()`; `#chatFeed` renders messages.,fixed,"Restructured chat messages with .chat-meta row, removed angle brackets, added boxed field styling",manual,2026-07-08
39,Shell / Watch,Reactions,"As a player, I want to send emoji reactions so that I can react to big moments.",`#watchReactions` buttons trigger `PearCupWatchSync.react()` which floats a reaction pop and broadcasts it to peers.,pass,reactionBar=true,puppeteer UI audit,2026-07-08
40,Shell / Watch,Voice chat toggle,"As a player, I want to mute/unmute voice chat so that I can control audio.",`#voiceToggle` toggles `state.voice` and updates styling; purely a UI state flag in the read code.,fixed,"Restructured chat messages with .chat-meta row, removed angle brackets, added boxed field styling",manual,2026-07-08
41,Shell / Watch,Screen sharing,"As a player, I want to share my screen to the room so that friends can watch my view.","`#shareScreenBtn` calls `getDisplayMedia()`, sets the video on `#shareVideo`, and negotiates WebRTC offers/answers over the watch topic via `PearCupWatchSync.broadcastScreen()`.",not tested,Requires real media permissions and second peer; not testable in headless Puppeteer,manual review,2026-07-08
42,Shell / Watch,Invite bar / room link,"As a player, I want to invite friends to my watch room so that we can watch together.","`#shareGameBtn` opens `#roomShareBar` with a `pear://pearcup/watch/...` room code, peer count, copy button, and note about P2P topic sharing.",info,inviteBar=false,puppeteer UI audit,2026-07-08
43,Shell / Games,Games lobby,"As a player, I want to browse available mini-games and challenge a friend or AI so that I can start playing.","`renderGameLobby()` (referenced in `renderGames()`) shows hero, quick-play, friend invite, and mini-game tabs. `hostPeerGame()` and `promptJoinPeerGame()` handle peer match creation/joining.",pass,"Games lobby rendered with hero, friend, and AI opponent sections",visual audit,2026-07-08
44,Shell / Games,Penalty Clash (AI / peer),"As a player, I want to take penalties against an AI or a friend so that I can win stakes.","Alternating shootout over 5 rounds; power meter, aim grid, keeper dive; deterministic outcome via `kickOutcome()`; QVAC-attested settlement via `resolvePenaltyRound()`.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
45,Shell / Games / Peer Match,Peer match framework,"As a player, I want to play real peer-vs-peer mini-games with commit/reveal fairness so that neither side can cheat.","`PearCupPeerMatch` hosts/joins a room; supports Penalty Clash, Prediction Duel, Trivia Duel, Free-kick Duel, Buzzer Beater Duel, Ace Serve Duel, Home Run Derby; each uses commit/reveal messaging and QVAC attestation.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
46,Shell / Games,Reaction Challenge (peer / AI),"As a player, I want a fastest-tap reaction duel so that I can test reflexes against a friend or AI.",`ReactionChallenge` module schedules deterministic moments from a shared seed; players tap; commit/reveal of timestamps; QVAC attestation with latency audit.,pass,title=Reaction Challenge,puppeteer UI audit,2026-07-08
47,Shell / Games,Live Market Games (next-event / scoreline-lock / watch-party-streak),"As a player, I want watch-party side bets so that I can wager on in-match micro-events.","`LiveMarketGame` hosts/joins; supports next-event, scoreline-lock, watch-party-streak; AI opponent scheduled via `startLiveMarketAI()`.",info,Coming-soon tabs visible; real-money live market not exercised,visual audit,2026-07-08
48,Shell / Games,Mini-game placeholder,"As a player, I want to know when a mini-game is coming soon so that I am not confused by a missing UI.","`renderPeerMiniGamePlaceholder()` shows a ""Coming soon"" panel for unimplemented peer games.",pass,title=Reaction Challenge,puppeteer UI audit,2026-07-08
49,Shell / Games / Settlement,Game audit panels,"As a player, I want to inspect resolver output, P2P sync, replay log, runtime status, Tether WDK, and QVAC referee for each game so that I can verify fairness.","`applyKickResult()` populates `#gameResolver`, `#gameSync`, `#gameReplay`, `#runtimePanel`, `#tetherPanel`, `#qvacRefPanel`, and `#gameLeaderboard` with deterministic hashes, event roots, receipt hashes, and status pills.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
50,Lobby,Server browser,"As a player, I want to browse available sports servers/fits so that I can join the one I care about.","`lobby-app/app.js` fetches `data/servers.json`, renders category filters and a server table with status, title, format, variant count, mini-game count. Selecting a server enables ""Join"".",pass,12 rows,puppeteer UI audit,2026-07-08
51,Lobby,Fit launcher,"As a player, I want to open a selected server inside the same client chrome so that the experience is seamless.",`loadApp()` sets `#appFrame.src` and shows `#appLoader`; `injectHostState()` passes profile and wallet into the iframe via `postMessage`.,pass,Enter the room button loaded shell in app loader,visual audit,2026-07-08
52,Lobby / Wallet,Wallet panel,"As a player, I want to manage my wallet from the lobby so that funds are shared across all servers.","Fund (+100), collect payout, withdraw buttons; ledger; balance displayed in LCD style. Changes sync to the open fit via `syncOpenFit()`.",pass,"balance=true, ledger=true",puppeteer UI audit,2026-07-08
53,Lobby / Social,Identity / friends / presence,"As a player, I want a persistent identity, friends list, and online presence so that I can find and play with people I know.",Ed25519 keypair via `UltimateID` when available; 64-hex peer ID; add/remove friends; presence heartbeat on `ultimate-sports:presence:v1`; online/offline dots.,pass,"Identity, friends, and presence UI functional",puppeteer deep test,2026-07-08
54,Lobby / Social,Private rooms,"As a player, I want to create private rooms for a fit and invite friends so that only invited people can join.",Create room modal selects fit and friends; owner signs invites; shareable ticket encoded via `encodeTicket()`; redeem via `redeemTicket()`; join loads the shell with `?join=<code>&owner=...&cap=...`.,pass,Private rooms UI functional,puppeteer deep test,2026-07-08
55,Lobby / Social,Social feed,"As a player, I want a feed of posts from native and external protocols so that I can follow the conversation around events.","Demo posts from Nostr, Bluesky, Mastodon, native P2P; mute author, hide source, report post; refresh generates new demo posts.",pass,socialFeedPanel=true,puppeteer UI audit,2026-07-08
56,Lobby / Settings,Settings,"As a player, I want to change my name, team, language, and settlement mode so that my profile and risk preferences are correct.",Name/team/language inputs; demo/real money toggle gated by `realMoneyReadiness()`.,pass,settingsMoney=true,puppeteer UI audit,2026-07-08
57,Settlement,Settlement readiness gating,"As a player, I want real-money actions to be blocked until all trust rails are ready so that I do not accidentally enter a live pool prematurely.","`settlementGateFor()` checks QVAC SDK, Tether WDK SDK, KYC, jurisdiction, responsible play, etc. Blocked actions render `renderSettlementError()`.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
58,Settlement / QVAC,QVAC AI referee UI,"As a player, I want to see that an AI referee verified game rounds and pool settlements so that I trust the outcome.","`qvac-referee.js` provides round/pool review prompts and commentary adapters; UI shows ruling, confidence, rationale, attestation ID, state hash.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
59,Settlement,Tether WDK escrow/payout UI,"As a player, I want to see escrow creation, entry intent reconciliation, and payout preparation so that I know my funds are handled safely.","`settlement-service.js` exposes `createGameEscrow`, `createEntryIntent`, `reconcileEntryIntent`, `settleGameRoundWithReceipt`, `settleBracketPoolWithReceipt`, etc. UI shows escrow ID, payout ID, status.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
60,Shell,P2P module readiness diagnostics,"As a player (and developer), I want on-screen P2P status so that I know whether peer networking is available.","`assertP2PModulesReady()` sets `data-pearcup-p2p-modules`; `renderPeerBackendBadge()` shows backend label (PearBrowser swarm, hyperswarm, BroadcastChannel, noop).",pass,statusNet=true,puppeteer UI audit,2026-07-08
61,Shell,Runtime self-test probes,"As a developer/operator, I want the app to run smoke tests on boot and report diagnostics so that I can detect breakage.","`runBootRuntimeSelfTest()` exercises hash routes, bracket rendering, peer handshake via a hidden iframe, and emits probe payloads to `boot-probe-hit.gif` or configured URL.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
62,Games,Mini-game Lobby & Game Selection,"As a player, I want to browse available mini-games so that I can pick a match type that suits my mood.","The Games screen shows a horizontal tab bar of fit-supplied mini-games (`fitMiniGames`). Playable competitive games are enabled; social/placeholder games are disabled with a ""· soon"" label. Selecting a tab updates the lobby hero copy, AI opponent list, and P2P invite actions.",fixed,renderGameLobby now updates #gamesTitle to match selected mini-game tab,manual,2026-07-08
63,Games,Practice vs AI — Penalty Clash,"As a player, I want to practice penalties against an AI keeper so that I can warm up without risking money.","""⚡ Practice vs AI"" starts a free match. The player alternates shooter/keeper across 5 rounds, aiming at 6 zones with a live power meter. Outcome is deterministic based on aim, dive, power, and entropy hash.",pass,is-lobby=false,puppeteer UI audit,2026-07-08
64,Games / Settlement,Staked AI Challenges,"As a player, I want to stake money against an AI opponent so that I can win a prize pot.","Each AI lobby card shows a stake. Tapping ""Challenge"" opens a modal requiring explicit consent (""Stake $X"" or ""Practice free""). Accepting debits the wallet; winning returns 2× stake, draw refunds stake, losing forfeits stake.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
65,Peer Match / Games,Peer Penalty Clash,"As a player, I want to play a real-time penalty shootout against a friend so that we can compete fairly without a central server.","Host creates a room code and invite link; joiner enters the code. Two peers connect over a Pear topic, alternate shooter/keeper for 5 rounds each, and use commit/reveal (shooter commits hash of aim+nonce, keeper dives, shooter reveals) to prevent cheating. Both clients derive the identical outcome.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
66,Peer Match / Games,Peer Prediction Duel,"As a player, I want to predict a live fixture outcome against a friend so that we can test our match-reading skills.","3 rounds. Host sends an event snapshot; both players commit to a prediction choice, then reveal. Correct pick scores +1. The ""correct"" answer is derived deterministically from the snapshot hash and round index.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
67,Peer Match / Games,Peer Trivia Duel,"As a player, I want to race a friend to answer attested trivia questions so that I can trust the answer key.",Host distributes a verified question bank and its hash; QVAC attests the bank. 3 rounds of A-D options; commit/reveal per answer. Correct answers score +1. Bank tampering triggers a disputed QVAC review.,pass,title=Trivia Duel,puppeteer UI audit,2026-07-08
68,Peer Match / Games,Peer Free-kick Duel,"As a player, I want to take free kicks against a friend (alternating shooter and wall/keeper) so that set-piece skill decides the winner.","Shooter commits aim/power/curve; defender commits wall position and dive zone. Resolution awards 3 points for a goal, 1 for on-frame miss, 0 otherwise. Game ends after 6 total actions (3 rounds each).",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
69,Peer Match / Games,Peer Buzzer Beater Duel,"As a player, I want to shoot buzzer-beaters against a friend so that basketball clutch skill is tested.","Shooter commits aim/power; defender commits a defensive read. Basket = 2 pts, on-target miss = 1 pt, blocked or airball = 0. Ends after 6 total actions.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
70,Peer Match / Games,Peer Ace Serve Duel,"As a player, I want to serve for aces against a friend so that tennis serving skill decides the match.","Server commits placement/power/spin; returner commits a return read. Ace = 2 pts, in-bounds = 1 pt, fault = 0. Alternates server/returner; ends after 6 total actions.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
71,Peer Match / Games,Peer Home Run Derby,"As a player, I want to out-hit a friend in a home-run derby so that baseball timing and pitch-reading are tested.","Batter commits pitch-read/power/timing; pitcher commits pitch type. Home run = 4 pts, hit = 1 pt, miss = 0. Alternates pitcher/batter; ends after 6 total actions.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
72,Games / Peer Match,Reaction Challenge (AI & Peer),"As a player, I want to tap faster than my opponent when a live moment appears so that reaction speed wins.","A schedule of moments (goal, save, penalty, etc.) appears at fixed times over 5 rounds; first tap inside the window wins the round. AI version simulates opponent reaction delays; peer version uses a separate `ReactionChallenge` module.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
73,Games / Peer Match,Live Market Side Bets (AI & Peer),"As a watch-party participant, I want to make low-stakes predictions about live events so that I can compete socially while watching.","Three variants: `next-event` (predict next event type), `scoreline-lock` (predict final scoreline, 3 pts exact / 1 pt result-class), and `watch-party-streak` (5 yes/no prompts, longest streak wins). AI picks after the player; peer version uses a separate `LiveMarketGame` module.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
74,Peer Match / Lobby,Peer Room Invite & Join by Code,"As a player, I want to invite a friend with a link or code so that we can play together.","""Invite a friend"" creates a room code and a shareable `hyper://` or web link. ""Join with code"" opens a modal to enter a code. Deep-link `?join=<code>&game=<type>` auto-joins on boot.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
75,Lobby / Peer Match,Live Matchmaking / Lobby Presence,"As a player, I want to see who is online so that I can challenge a live opponent.","`PearCupLobby` announces presence on a shared topic and renders online peers in the game lobby. `PearCupPeerNet` reports backend type (PearBrowser swarm, Hyperswarm, BroadcastChannel, or noop).",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
76,Peer Match,Commit/Reveal Anti-cheat Protocol,"As a player, I want assurance my opponent cannot see my move before committing so that the game is fair.","For every competitive duel, the acting player sends `commit` (hash of input + nonce) first; the reacting player sends their response; then the acting player reveals input + nonce. Both clients verify the hash and derive the same deterministic outcome.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
77,Peer Match,Disconnect Forfeit,"As a player, I want to win if my opponent disconnects so that I am not held hostage.","A 30 s forfeit timer starts when waiting for the opponent's next message. If they remain silent, the match is forfeited and the remaining player wins.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
78,Settlement / Games,Game Wallet & Settlement Receipts,"As a player, I want my winnings credited and losses debited automatically so that the wallet stays in sync.","`debitWallet` removes stake on match start. `postSettlementReceipt` credits 2× stake for a win, refunds stake for a draw, and shows a loss toast. Penalty Clash uses a separate path in `endShootout`.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
79,Settlement / Peer Match,QVAC Referee Attestation for Mini-games,"As a player, I want a trusted AI referee to sign each round result so that disputes can be resolved.","After each peer round, a `roundResult` object is built with commitments, reveals, outcome, and source event IDs, then sent to the QVAC adapter for attestation. Attestations are collected and passed to `finishMatch()`.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
80,Games / Settlement,Runtime / Settlement Diagnostics Panel,"As a player, I want to see whether real-money settlement is ready so that I know if prizes are live or demo.","The game lower panel shows QVAC status, Tether WDK rail status, compliance readiness, escrow ID, payout ID, state hashes, and replay event counts. In demo mode all prize gates show ""Locked"".",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
